project,revision,numberofbugs,days
ActiveMQ,355543,265,2767
ActiveMQ,355920,5,1083
ActiveMQ,356524,1,0
ActiveMQ,357195,2,1257
ActiveMQ,357683,3,1064
ActiveMQ,357732,2,400
ActiveMQ,357943,7,2211
ActiveMQ,357969,2,210
ActiveMQ,358056,4,2213
ActiveMQ,358217,1,0
ActiveMQ,358280,5,1897
ActiveMQ,358371,1,0
ActiveMQ,358579,3,439
ActiveMQ,359547,2,449
ActiveMQ,359571,1,0
ActiveMQ,359585,1,0
ActiveMQ,359800,1,0
ActiveMQ,359819,1,0
ActiveMQ,360089,1,0
ActiveMQ,360108,1,0
ActiveMQ,360127,2,437
ActiveMQ,360167,1,0
ActiveMQ,360169,1,0
ActiveMQ,365882,2,231
ActiveMQ,365883,1,0
ActiveMQ,365888,1,0
ActiveMQ,365917,2,46
ActiveMQ,365954,1,0
ActiveMQ,365993,2,374
ActiveMQ,366151,1,0
ActiveMQ,366152,3,1532
ActiveMQ,366153,1,0
ActiveMQ,366161,1,0
ActiveMQ,366208,1,0
ActiveMQ,366220,2,2597
ActiveMQ,366274,1,0
ActiveMQ,367253,2,462
ActiveMQ,367341,4,581
ActiveMQ,367741,1,0
ActiveMQ,368075,1,0
ActiveMQ,368560,1,0
ActiveMQ,369174,1,0
ActiveMQ,369868,1,0
ActiveMQ,370223,11,1258
ActiveMQ,371636,2,46
ActiveMQ,371951,2,226
ActiveMQ,372050,2,358
ActiveMQ,372479,1,0
ActiveMQ,372805,1,0
ActiveMQ,372844,2,0
ActiveMQ,372855,5,742
ActiveMQ,373509,4,1575
ActiveMQ,373863,2,730
ActiveMQ,374118,1,0
ActiveMQ,374119,3,807
ActiveMQ,374292,1,0
ActiveMQ,374309,1,0
ActiveMQ,374729,1,0
ActiveMQ,375088,1,0
ActiveMQ,375179,1,0
ActiveMQ,375519,7,678
ActiveMQ,375598,1,0
ActiveMQ,375654,3,2302
ActiveMQ,375923,1,0
ActiveMQ,376019,1,0
ActiveMQ,376044,1,0
ActiveMQ,376048,1,0
ActiveMQ,376206,2,546
ActiveMQ,376260,1,0
ActiveMQ,376332,1,0
ActiveMQ,376339,1,0
ActiveMQ,376766,2,0
ActiveMQ,376856,1,0
ActiveMQ,377936,11,2127
ActiveMQ,377937,1,0
ActiveMQ,377991,1,0
ActiveMQ,377995,4,2244
ActiveMQ,378023,1,0
ActiveMQ,378119,6,1729
ActiveMQ,378137,1,0
ActiveMQ,378192,1,0
ActiveMQ,378194,2,1339
ActiveMQ,378218,1,0
ActiveMQ,378590,1,0
ActiveMQ,378618,1,0
ActiveMQ,378626,1,0
ActiveMQ,378642,2,664
ActiveMQ,378699,1,0
ActiveMQ,378700,7,2354
ActiveMQ,378968,1,0
ActiveMQ,379397,1,0
ActiveMQ,379400,1,0
ActiveMQ,379429,1,0
ActiveMQ,379540,1,0
ActiveMQ,379717,1,0
ActiveMQ,379725,1,0
ActiveMQ,380180,2,60
ActiveMQ,380616,1,0
ActiveMQ,381644,5,1959
ActiveMQ,381762,3,1305
ActiveMQ,381927,2,1459
ActiveMQ,382083,1,0
ActiveMQ,382344,1,0
ActiveMQ,382428,1,0
ActiveMQ,382459,1,0
ActiveMQ,382503,3,462
ActiveMQ,382532,1,0
ActiveMQ,382741,1,0
ActiveMQ,382846,2,108
ActiveMQ,382869,13,2484
ActiveMQ,382886,1,0
ActiveMQ,382888,1,0
ActiveMQ,382913,1,0
ActiveMQ,382934,1,0
ActiveMQ,382954,1,0
ActiveMQ,383014,1,0
ActiveMQ,383040,1,0
ActiveMQ,383524,1,0
ActiveMQ,383565,1,0
ActiveMQ,383627,2,802
ActiveMQ,383749,1,0
ActiveMQ,383815,5,1758
ActiveMQ,383831,2,78
ActiveMQ,383832,1,0
ActiveMQ,383893,3,1664
ActiveMQ,383969,4,607
ActiveMQ,383972,2,63
ActiveMQ,384001,1,0
ActiveMQ,384166,1,0
ActiveMQ,384186,1,0
ActiveMQ,384220,2,124
ActiveMQ,384390,4,172
ActiveMQ,384454,1,0
ActiveMQ,384569,1,0
