project,bug,bug-introducing_changes,days
ActiveMQ,AMQ-1006,4,342
ActiveMQ,AMQ-1024,1,0
ActiveMQ,AMQ-1026,29,309
ActiveMQ,AMQ-1029,2,57
ActiveMQ,AMQ-1031,10,333
ActiveMQ,AMQ-1034,7,139
ActiveMQ,AMQ-1038,3,609
ActiveMQ,AMQ-1045,4,145
ActiveMQ,AMQ-1050,1,0
ActiveMQ,AMQ-1054,1,0
ActiveMQ,AMQ-1057,1,0
ActiveMQ,AMQ-1068,3,213
ActiveMQ,AMQ-1071,3,319
ActiveMQ,AMQ-1077,1,0
ActiveMQ,AMQ-1078,3,236
ActiveMQ,AMQ-1080,22,553
ActiveMQ,AMQ-1093,5,333
ActiveMQ,AMQ-1095,15,342
ActiveMQ,AMQ-1096,4,280
ActiveMQ,AMQ-1097,2,26
ActiveMQ,AMQ-1098,1,0
ActiveMQ,AMQ-1106,1,0
ActiveMQ,AMQ-1108,13,352
ActiveMQ,AMQ-1110,6,299
ActiveMQ,AMQ-1112,50,1367
ActiveMQ,AMQ-1113,1,0
ActiveMQ,AMQ-1116,3,781
ActiveMQ,AMQ-1119,1,0
ActiveMQ,AMQ-1121,19,300
ActiveMQ,AMQ-1128,1,0
ActiveMQ,AMQ-1134,5,95
ActiveMQ,AMQ-1140,1,0
ActiveMQ,AMQ-1142,4,455
ActiveMQ,AMQ-1146,5,309
ActiveMQ,AMQ-1147,14,230
ActiveMQ,AMQ-1161,1,0
ActiveMQ,AMQ-1163,1,0
ActiveMQ,AMQ-1165,2,61
ActiveMQ,AMQ-1167,2,323
ActiveMQ,AMQ-1172,17,415
ActiveMQ,AMQ-1173,1,0
ActiveMQ,AMQ-1177,4,222
ActiveMQ,AMQ-1178,3,346
ActiveMQ,AMQ-1179,5,108
ActiveMQ,AMQ-1188,1,0
ActiveMQ,AMQ-1189,11,406
ActiveMQ,AMQ-1200,2,610
ActiveMQ,AMQ-1216,1,0
ActiveMQ,AMQ-1229,1,0
ActiveMQ,AMQ-1235,3,506
ActiveMQ,AMQ-1236,1,0
ActiveMQ,AMQ-1244,1,0
ActiveMQ,AMQ-1246,5,271
ActiveMQ,AMQ-1251,2,387
ActiveMQ,AMQ-1254,17,602
ActiveMQ,AMQ-1255,13,824
ActiveMQ,AMQ-1261,1,0
ActiveMQ,AMQ-1263,3,130
ActiveMQ,AMQ-1266,1,0
ActiveMQ,AMQ-1272,13,602
ActiveMQ,AMQ-1276,5,112
ActiveMQ,AMQ-1279,1,0
ActiveMQ,AMQ-1284,2,30
ActiveMQ,AMQ-1292,1,0
ActiveMQ,AMQ-1293,42,553
ActiveMQ,AMQ-1294,2,200
ActiveMQ,AMQ-1305,8,560
ActiveMQ,AMQ-1306,1,0
ActiveMQ,AMQ-1308,7,1158
ActiveMQ,AMQ-1315,5,501
ActiveMQ,AMQ-1319,5,213
ActiveMQ,AMQ-1323,15,394
ActiveMQ,AMQ-1340,3,451
ActiveMQ,AMQ-1342,3,97
ActiveMQ,AMQ-1344,5,451
ActiveMQ,AMQ-1345,2,610
ActiveMQ,AMQ-1346,3,112
ActiveMQ,AMQ-1348,6,459
ActiveMQ,AMQ-1356,27,560
ActiveMQ,AMQ-1365,1,0
ActiveMQ,AMQ-1380,4,1251
ActiveMQ,AMQ-1381,1,0
ActiveMQ,AMQ-1382,3,195
ActiveMQ,AMQ-1385,1,0
ActiveMQ,AMQ-1436,2,498
